都道府県,市町村,撮影場所,撮影日時,,緯度,経度,"夜空の明るさ
（等級（mag/□”）",ばらつき,周辺状況,継続観察登録地点,備考
長野県,長野市,,8月9日 8:37 PM,,36.63527778,138.1783333,19,0.1,,,
長野県,長野市,長野市立博物館,8月9日 9:39 PM,,36.59194444,138.1888889,19.7,0.1,自然公園等,○,
長野県,松本市,,8月3日 10:04 PM,,36.24972222,137.6388889,21.6,0.2,,,
長野県,松本市,,8月3日 10:25 PM,,36.24583333,137.635,21.5,0.3,,,
長野県,松本市,,8月4日 9:33 PM,,36.04611111,137.7022222,21.6,0.3,,,
長野県,松本市,奈川渡ダム駐車場,8月4日 9:55 PM,,36.13111111,137.7180556,21.2,0.2,森林山間地,○,
長野県,松本市,乗鞍高原・いがや,8月4日 10:18 PM,,36.12027778,137.6419444,21.7,0.2,自然公園等,○,
長野県,松本市,,8月5日 9:06 PM,,36.18111111,137.8577778,20.3,0.1,,,
長野県,松本市,長野県松本市安曇上高地　大正池,8月5日 9:29 PM,,36.22805556,137.6188889,21.7,0.2,自然公園等,○,
長野県,松本市,,8月5日 10:02 PM,,36.18416667,137.9180556,19.6,0.1,,,
長野県,松本市,,8月13日 10:16 PM,,36.10388889,137.6263889,21.3,0.1,,,
長野県,松本市,乗鞍コロナ観測所と宇宙線研究所の中間,8月14日 12:36 AM,,36.12333333,137.5586111,20.7,0.5,森林山間地,○,観察時間外
長野県,上田市,美ヶ原高原,8月2日 8:39 PM,,36.22638889,138.1455556,21.8,0.2,自然公園等,○,
長野県,上田市,,8月2日 8:47 PM,,36.22833333,138.1430556,21.1,0.2,,,薄雲あり
長野県,上田市,,8月3日 8:44 PM,,36.22638889,138.1455556,21.2,0.3,,,薄雲あり
長野県,上田市,,8月9日 10:09 PM,,36.52083333,138.3441667,21.2,0.1,,,
長野県,上田市,古安曽観測所前,8月13日 8:55 PM,,36.35111111,138.2183333,19.9,0.1,農業地域,○,
長野県,岡谷市,,8月2日 9:34 PM,,36.0625,138.0161111,20.2,0.2,,,薄雲あり
長野県,諏訪市,霧ヶ峰高原,8月11日 10:35 PM,,36.09805556,138.1686111,21,0.1,自然公園等,○,
長野県,小諸市,,8月9日 8:21 PM,,36.40333333,138.4705556,21.2,0.1,,,
長野県,小諸市,,8月9日 8:55 PM,,36.40194444,138.4711111,21.1,0.1,,,
長野県,伊那市,マナスル山荘天文館コテージ広場,8月5日 10:30 PM,,35.9025,138.1708333,21.2,0.2,森林山間地,○,
長野県,伊那市,,8月13日 12:37 AM,,35.80583333,138.1227778,21.9,0.1,,,観察時間外，赤道儀追尾
長野県,駒ヶ根市,,8月13日 9:38 PM,,35.74583333,137.8836111,19.1,0.2,,,
長野県,駒ヶ根市,,8月14日 9:28 PM,,35.77861111,137.815,19,0.3,,,
長野県,大町市,大町市大町 大町市役所,8月3日 8:36 PM,,36.50222222,137.8505556,20.1,0.1,住宅地域,○,
長野県,大町市,大町市社 大町観測所,8月3日 8:56 PM,,36.445,137.8769444,20.7,0.2,農業地域,○,
長野県,塩尻市,,8月2日 8:28 PM,,36.13472222,138.0372222,20.6,0.1,,,
長野県,塩尻市,,8月2日 8:55 PM,,36.06416667,137.9,20.4,0.1,,,薄雲あり
長野県,塩尻市,,8月2日 9:18 PM,,36.01277778,137.8591667,20.7,0.2,,,
長野県,塩尻市,,8月2日 9:33 PM,,35.96027778,137.8088889,21.2,0.1,,,
長野県,塩尻市,,8月2日 9:52 PM,,35.93444444,137.8102778,21.5,0.1,,,
長野県,塩尻市,,8月2日 10:26 PM,,36.07166667,138.0038889,20.2,0.1,,,
長野県,塩尻市,,8月3日 10:15 PM,,36.10416667,137.9427778,19.7,0.1,,,
長野県,塩尻市,,8月4日 10:02 PM,,36.15694444,137.9227778,19.4,0.1,,,
長野県,塩尻市,,8月7日 10:19 PM,,36.15305556,137.9447222,19.7,0.1,,,
長野県,塩尻市,片丘小学校東,8月13日 8:57 PM,,36.14416667,137.9797222,19.7,0.1,農業地域,○,
長野県,佐久市,うすだスタードーム,8月13日 10:22 PM,,36.19333333,138.43,20.5,0.1,森林山間地,○,
長野県,千曲市,長野県千曲市 中央公園,8月9日 8:47 PM,,36.52861111,138.1108333,20,0.1,住宅地域,○,
長野県,東御市,,8月4日 8:41 PM,,36.32305556,138.3233333,19.6,0.1,,,
長野県,東御市,長野県東御市湯の丸高原,8月17日 10:01 PM,,36.3975,138.3894444,20.9,0.1,森林山間地,○,観察期間外
長野県,東御市,長野県東御市湯の丸高原,8月17日 10:09 PM,,36.3975,138.3894444,20.8,0.2,森林山間地,○,観察期間外
長野県,安曇野市,安曇野市穂高牧 安曇野公園穂高,8月3日 9:33 PM,,36.32111111,137.8436111,20.1,0.2,農業地域,○,
長野県,安曇野市,安曇野市穂高 穂高会館,8月3日 9:50 PM,,36.34583333,137.8838889,19.8,0.1,住宅地域,○,
長野県,南牧村,,8月3日 10:03 PM,,35.99777778,138.4980556,21.3,0.2,,,
長野県,南牧村,国立天文台野辺山宇宙電波観測所内,8月3日 10:09 PM,,35.94111111,138.4722222,21.1,0.1,農業地域,○,
長野県,南牧村,南牧村板橋,8月12日 11:08 PM,,35.96944444,138.4719444,21.2,0.4,農業地域,○,観察時間外，薄雲あり
長野県,軽井沢町,,8月13日 9:20 PM,,36.35777778,138.5630556,20.3,0.1,,,
長野県,立科町,,8月4日 9:51 PM,,36.15944444,138.2805556,21,0.2,,,薄雲あり
長野県,長和町,,8月3日 9:41 PM,,36.20166667,138.215,21.7,0.2,,,
長野県,下諏訪町,長野県下諏訪町赤砂崎公園,8月13日 10:25 PM,,36.05916667,138.0780556,19.5,0.1,自然公園等,○,
長野県,原村,,8月3日 9:30 PM,,35.97194444,138.2661111,20.8,0.1,,,
長野県,辰野町,,8月14日 9:49 PM,,35.96916667,137.9944444,20.2,0.1,,,薄雲あり
長野県,箕輪町,,8月14日 10:10 PM,,35.91027778,137.9991667,20.1,0.1,,,
長野県,上松町,上松駅前,8月3日 10:45 PM,,35.785,137.6927778,20,0.1,商業地域,○,
長野県,上松町,木曽の桟,8月8日 10:15 PM,,35.80611111,137.6872222,21.5,0.2,森林山間地,○,
長野県,王滝村,東京大学木曽観測所,8月3日 9:12 PM,,35.79666667,137.6236111,21.4,0.2,森林山間地,○,
長野県,木曽町,道の駅日義木曽駒高原,8月3日 9:43 PM,,35.86611111,137.7397222,20.7,0.1,住宅地域,○,
長野県,木曽町,キビオ峠,8月3日 10:03 PM,,35.83194444,137.7572222,21.2,0.2,森林山間地,○,
長野県,木曽町,関山公園,8月3日 10:26 PM,,35.84944444,137.7038889,20.7,0.1,自然公園等,○,
長野県,木曽町,,8月6日 10:07 PM,,35.96611111,137.5744444,21.6,0.3,,,
長野県,山形村,,8月4日 10:31 PM,,36.17055556,137.8788889,20,0.1,,,
長野県,朝日村,,8月5日 9:36 PM,,36.12777778,137.8630556,20.5,0.1,,,
長野県,筑北村,長野道筑北PA下り,8月4日 10:53 PM,,36.43638889,138.0166667,20.6,0.2,その他,○,観察時間外
長野県,池田町,,8月2日 9:42 PM,,36.43666667,137.8816667,20.6,0.1,,,
長野県,白馬村,,8月3日 9:26 PM,,36.69666667,137.8155556,21,0.1,,,
長野県,白馬村,,8月4日 9:29 PM,,36.69694444,137.8152778,21.3,0.2,,,
長野県,白馬村,,8月4日 9:30 PM,,36.69694444,137.8152778,21.2,0.1,,,
長野県,白馬村,,8月4日 9:37 PM,,36.69694444,137.8152778,21,0.2,,,
長野県,山ノ内町,,8月8日 10:52 PM,,36.68944444,138.4927778,21.7,0.1,,,観察時間外
長野県,小川村,小川天文台,8月4日 10:18 PM,,36.65944444,137.9869444,21.4,0.2,森林山間地,○,
岐阜県,八百津町,,8月6日 9:05 PM,,35.49833333,137.2552778,20.7,0.2,,,
静岡県,浜松市,浜松市天文台,8月4日 9:03 PM,,34.66333333,137.7686111,18.2,0.2,住宅地域,○,薄雲あり
静岡県,清水町,,8月14日 9:17 PM,,35.10138889,138.8933333,18.6,0.1,,,
愛知県,名古屋市,愛知県名古屋市,8月3日 10:42 PM,,35.22722222,136.8833333,17.6,0.1,住宅地域,○,
愛知県,名古屋市,,8月14日 9:17 PM,,35.165,136.8994444,16.9,0.1,,,薄雲あり
愛知県,設楽町,奥三河総合センター,8月5日 8:42 PM,,35.09361111,137.5736111,20.7,0.1,住宅地域,○,
愛知県,設楽町,道の駅つぐ高原グリーンパーク,8月5日 9:13 PM,,35.19888889,137.6066667,20.9,0.1,自然公園等,○,
愛知県,東栄町,,8月11日 9:20 PM,,35.11694444,137.7188889,21,0.2,,,
愛知県,豊根村,茶臼山高原,8月5日 10:01 PM,,35.22138889,137.6588889,21.4,0.2,自然公園等,○,
大阪府,八尾市,,8月4日 8:53 PM,,34.61472222,135.5972222,16.9,0.2,,,
兵庫県,神戸市,神戸市 長田区 鹿松町,8月7日 9:30 PM,,34.68361111,135.1333333,18.5,0.1,住宅地域,○,
奈良県,十津川村,,8月12日 10:17 PM,,33.91888889,135.775,21.4,0.1,,,
奈良県,十津川村,,8月12日 10:18 PM,,33.91777778,135.7761111,20.9,0.1,,,
奈良県,十津川村,,8月12日 10:29 PM,,34.02694444,135.7819444,21.4,0.1,,,
奈良県,十津川村,,8月12日 10:29 PM,,34.00388889,135.7925,21.7,0.1,,,
和歌山県,和歌山市,和歌山大学 総合研究棟屋上,8月10日 8:07 PM,,34.26722222,135.1516667,15.9,0.3,森林山間地,○,薄雲あり
和歌山県,田辺市,,8月12日 9:49 PM,,33.80805556,135.7177778,20.5,0.1,,,
和歌山県,田辺市,,8月12日 10:18 PM,,33.8775,135.7597222,21.3,0.1,,,
和歌山県,田辺市,,8月16日 10:18 PM,,33.80805556,135.7186111,20.9,0.2,,,観察期間外
鳥取県,日南町,鳥取県日野郡日南町上萩山,8月13日 9:18 PM,,35.13638889,133.165,21.5,0.1,農業地域,○,
島根県,大田市,島根県立三瓶自然館サヒメル,8月14日 10:22 PM,,35.15222222,132.6197222,19.8,0.1,自然公園等,○,薄雲あり
広島県,広島市,,8月6日 9:00 PM,,34.46,132.5127778,18.5,0.2,,,
広島県,広島市,,8月7日 10:00 PM,,34.39833333,132.4538889,17.8,0.1,,,
徳島県,徳島市,,8月2日 8:27 PM,,34.07305556,134.5561111,17.5,0.2,,,
徳島県,徳島市,,8月2日 9:15 PM,,34.06333333,134.6027778,18.4,0.1,,,薄雲あり
徳島県,徳島市,,8月8日 8:02 PM,,34.07416667,134.5466667,17.9,0.1,,,薄雲あり
徳島県,徳島市,,8月8日 8:37 PM,,34.06972222,134.555,18,0.2,,,
徳島県,徳島市,,8月8日 8:56 PM,,34.06694444,134.5586111,17.9,0.1,,,光が入っている
徳島県,阿南市,,7月31日 8:58 PM,,33.94861111,134.6819444,20.1,0.2,,,観察期間外
徳島県,石井町,,8月5日 9:19 PM,,34.0675,134.4486111,18.6,0.1,,,
徳島県,石井町,,8月7日 9:13 PM,,34.0675,134.4486111,19.3,0.1,,,
香川県,高松市,,8月4日 8:21 PM,,34.27027778,133.9522222,18.8,0.1,,,
香川県,高松市,,8月4日 8:39 PM,,34.30138889,133.9811111,18.8,0.1,,,
香川県,高松市,,8月4日 8:48 PM,,34.30527778,133.9955556,18.4,0.1,,,
香川県,高松市,,8月4日 8:49 PM,,34.30694444,133.9530556,18.8,0.2,,,
香川県,高松市,,8月4日 8:51 PM,,34.35833333,134.0983333,18.7,0.2,,,
